SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1465.00,1483.00,1430.80,1444.55,1445.00,1462.00,1918,18025,26284690.00,
500003,AEGIS LOGIS ,A ,Q,309.80,309.80,294.45,297.95,297.70,304.30,789,16046,4834750.00,
500008,AMAR RAJA BA,A ,Q,971.00,995.00,966.50,990.90,989.55,969.25,2983,89415,87646872.00,
500009,A.SARABHAI  ,X ,Q,20.65,21.20,20.50,20.80,20.80,20.60,152,29226,611296.00,
500010,HDFC        ,A ,Q,2740.05,2779.00,2740.00,2770.50,2770.50,2747.30,8806,95413,263633145.00,
500012,ANDHRA PETRO,X ,Q,52.80,52.90,50.10,51.60,51.60,52.10,539,76978,3951869.00,
500013,ANSAL INFRAS,B ,Q,6.78,6.78,6.78,6.78,6.78,6.46,3,69,467.00,
500014,UTIQUE      ,X ,Q,1.79,1.79,1.72,1.79,1.79,1.81,20,4356,7717.00,
500016,ARUNAHTEL   ,XT,Q,6.00,6.00,6.00,6.00,6.00,6.30,4,272,1632.00,
500020,BOM DYEING  ,A ,Q,73.10,74.00,71.00,72.75,72.75,73.10,1748,327662,23941484.00,
500023,ASIANHOTNR  ,B ,Q,69.50,72.50,69.50,70.80,70.80,69.95,49,5083,367280.00,
500027,ATUL LTD.   ,A ,Q,6387.95,6387.95,6278.20,6335.95,6321.00,6297.35,614,60490,381103084.00,
500028,ATV PROJECTS,XT,Q,4.80,5.18,4.80,4.96,5.00,4.94,32,7249,36118.00,
500029,AUTOLITE(I) ,Z ,Q,30.00,30.20,28.75,28.75,28.75,28.80,19,2904,86485.00,
500031,BAJAJ ELECT.,A ,Q,1060.20,1075.00,1013.35,1021.55,1021.55,1049.85,3446,50748,52832817.00,
500032,BAJAJHIND   ,A ,Q,6.47,6.56,6.41,6.46,6.46,6.47,446,328338,2127917.00,
500033,FORCE MOTR  ,A ,Q,1435.35,1440.00,1401.10,1409.40,1409.85,1431.45,400,2025,2867364.00,
500034,BAJFINANCE  ,A ,Q,5420.00,5502.05,5397.50,5478.85,5478.85,5399.55,7406,87347,475603659.00,
500038,BALRAM.CHINI,A ,Q,160.15,162.35,157.35,158.75,158.75,160.05,667,36942,5905929.00,
500039,BANCO PROD. ,B ,Q,173.70,174.00,162.90,170.80,170.80,170.45,1467,74612,12668435.00,
500040,CENTURY TEXT,A ,Q,458.00,462.85,452.95,456.15,453.85,458.55,442,13911,6380141.00,
500041,BANNARI AMAN,A ,Q,1610.00,1610.00,1580.00,1589.45,1588.00,1622.25,24,76,120630.00,
500042,BASF INDIA  ,A ,Q,1729.00,1795.00,1703.75,1765.95,1765.95,1704.25,3724,22525,39597762.00,
500043,BATA INDIA  ,A ,Q,1597.65,1597.65,1545.00,1569.50,1569.50,1574.35,2053,32750,51147656.00,
500048,BEML LTD    ,A ,Q,972.00,1003.95,963.05,979.30,972.00,969.15,2646,68081,66877388.00,
500049,BHARAT ELECT,A ,Q,139.00,142.35,138.50,140.00,140.00,137.90,2717,499021,69793283.00,
500052,BHANSALI ENG,A ,Q,142.00,142.60,136.95,140.80,142.50,141.25,987,111991,15583445.00,
500055,TATASTLBSL  ,B ,Q,45.05,45.40,42.85,43.40,43.40,43.75,1541,527794,23075902.00,
500060,BIRLACABLE  ,B ,Q,63.40,64.45,63.10,63.45,63.45,63.30,57,3109,197511.00,
500067,BLUE STAR   ,A ,Q,822.00,822.00,790.55,815.70,814.20,805.40,699,83667,67015226.00,
500068,DISA INDIA  ,X ,Q,4001.00,4020.00,3980.00,4015.00,4015.00,4020.85,26,165,661592.00,
500069,BNK CAPITAL ,X ,Q,112.00,113.90,110.00,111.80,110.00,111.60,71,9338,1043577.00,
500074,BPL LTD.    ,B ,Q,22.40,22.70,22.05,22.25,22.45,22.55,137,13154,293169.00,
500078,OAL         ,B ,Q,585.00,601.00,576.35,595.60,601.00,585.30,327,3189,1864230.00,
500083,CENTURY EXT ,B ,Q,4.62,4.74,4.50,4.66,4.71,4.70,123,33361,153639.00,
500084,CESC LTD.   ,A ,Q,606.00,618.85,601.35,617.15,615.90,607.75,1917,34940,21407723.00,
500085,CHAMBAL FERT,A ,Q,238.95,238.95,232.00,233.40,233.30,233.90,603,28697,6712781.00,
500086,EXIDE IND.  ,A ,Q,212.90,215.50,209.75,214.45,214.45,211.25,3030,302542,64382882.00,
500087,CIPLA LTD.  ,A ,Q,849.40,866.85,841.30,863.55,863.55,842.50,6861,227750,194730009.00,
500089,DIC INDIA   ,B ,Q,396.75,396.75,385.25,394.20,394.20,397.45,29,100,39360.00,
500092,CRISIL LTD  ,A ,Q,1975.00,1975.00,1915.00,1920.75,1919.00,1948.15,321,1017,1958145.00,
500093,CGPOWER     ,B ,Q,46.90,46.90,44.60,45.30,45.30,46.90,1552,673148,30724326.00,
500096,DABUR (I)   ,A ,Q,529.85,529.85,522.20,524.50,524.35,524.95,1153,47149,24760183.00,
500097,DALMIASUG   ,A ,Q,143.10,143.35,141.25,141.70,142.00,141.50,188,6557,931267.00,
500101,ARVIND Ltd  ,A ,Q,58.45,63.40,57.40,61.55,61.55,57.75,4372,659422,40171557.00,
500102,BALARPUR IND,Z ,Q,1.41,1.41,1.30,1.32,1.35,1.35,303,1503011,2003439.00,
500103,BHEL        ,A ,Q,38.75,39.40,37.75,38.25,38.25,38.80,10930,4752692,183682771.00,
500104,HIND.PETRO  ,A ,Q,226.60,229.00,221.85,225.25,225.35,225.95,4280,301908,67996112.00,
500106,IFCI LTD    ,A ,Q,9.05,9.10,8.91,9.01,9.01,9.03,21640,388635,3501142.00,
500108,MAHA.TELE   ,B ,Q,13.07,13.26,12.86,12.90,12.90,12.96,3062,160861,2098574.00,
500109,MRPL        ,A ,Q,35.45,35.95,34.70,34.85,34.75,35.20,385,85261,3002244.00,
500110,CHENNAI PET.,A ,Q,91.65,95.45,91.20,94.65,94.65,91.85,1561,158566,14869150.00,
500111,REL.CAP.    ,B ,Q,10.05,10.26,10.00,10.07,10.07,10.15,579,250059,2519566.00,
500112,STATE BANK  ,A ,Q,394.70,397.75,388.00,392.05,392.05,394.70,20346,2172808,853450753.00,
500113,STEEL AUTH. ,A ,Q,68.40,69.75,66.05,66.65,66.65,66.65,10480,10287586,693093419.00,
500114,TITAN       ,A ,Q,1575.00,1589.00,1525.00,1563.30,1563.30,1560.05,6604,141246,218576277.00,
500116,IDBI BANK L ,A ,Q,30.25,30.40,29.45,29.65,29.65,30.10,1239,657639,19713278.00,
500117,DCW LTD.    ,B ,Q,21.15,21.80,20.75,20.90,21.05,20.75,393,110009,2330961.00,
500119,DHAMPUR SUGA,A ,Q,172.95,172.95,169.30,171.20,171.00,169.70,354,21757,3709628.00,
500120,DIAMINES&CHM,X ,Q,327.00,327.00,312.00,313.45,313.45,317.00,400,12435,3919631.00,
500123,ELANTAS     ,A ,Q,2866.00,2967.90,2855.00,2951.95,2967.90,2888.35,101,771,2253018.00,
500124,DR.REDDY'S  ,A ,Q,4840.00,4881.85,4760.50,4821.10,4821.10,4845.50,4096,35674,171684895.00,
500125,E.I.D.PAR   ,A ,Q,333.95,340.15,327.35,329.60,329.20,331.60,847,26336,8777239.00,
500126,PGHL        ,A ,Q,7298.10,7450.00,7257.65,7325.05,7350.00,7315.15,395,995,7288464.00,
500128,ELEC.CASTING,B ,Q,22.70,22.70,21.60,21.80,21.85,22.40,215,69676,1535324.00,
500133,ESAB INDIA  ,A ,Q,1988.30,2028.90,1900.90,1929.80,1911.10,1988.00,218,778,1524023.00,
500135,EPL         ,A ,Q,210.05,212.30,203.40,204.95,204.05,207.70,1641,28150,5859298.00,
500136,ESTER INDUS.,B ,Q,101.90,107.25,100.40,106.55,107.25,100.40,1560,84832,8875935.00,
500143,P.H.CAPITAL ,X ,Q,17.85,17.85,17.85,17.85,17.85,17.00,1,382,6818.00,
500144,FINOL. CABLE,A ,Q,364.00,371.00,364.00,369.30,369.90,372.60,444,10840,4002342.00,
500147,COCKERILL   ,X ,Q,825.00,825.00,804.00,808.35,822.95,821.05,5,38,30917.00,
500148,UFLEX LTD   ,A ,Q,345.60,358.00,340.00,351.35,351.35,339.05,1515,34321,11927805.00,
500150,FOSECO INDIA,B ,Q,1299.00,1319.00,1285.00,1307.00,1307.00,1272.10,43,153,198677.00,
500151,GOLDEN TOB  ,B ,Q,46.85,46.90,46.00,46.15,46.15,45.75,27,411,19048.00,
500153,GANESH BENZO,X ,Q,62.00,64.25,60.55,61.95,61.95,61.35,353,67656,4201305.00,
500159,METROGLOBL  ,X ,Q,53.60,54.45,50.50,54.00,54.45,52.90,41,2779,147426.00,
500160,GTL LTD.    ,B ,Q,7.00,7.00,6.61,6.75,6.75,6.85,1244,30396,204240.00,
500163,GODFREY PH  ,A ,Q,911.05,923.75,911.05,917.50,919.90,917.00,531,6073,5581312.00,
500164,GODREJ IND  ,A ,Q,449.50,456.75,445.20,449.75,450.00,451.80,353,8094,3647642.00,
500165,KANSAI NERO ,A ,Q,575.60,595.10,575.60,585.35,585.30,588.05,575,11034,6502567.00,
500166,GOODRICKE   ,X ,Q,240.00,244.80,230.95,234.75,234.75,261.00,927,63299,14984562.00,
500168,GOODYEAR (I),A ,Q,989.00,989.00,968.20,976.70,977.25,972.70,457,3031,2959034.00,
500170,GTN INDUS   ,B ,Q,10.86,11.93,10.85,11.35,11.35,11.37,9,1575,17132.00,
500171,GHCL LTD    ,A ,Q,212.55,213.40,207.05,211.85,212.00,212.50,439,6208,1305299.00,
500173,GFLLIMITED  ,A ,Q,85.65,86.00,84.05,85.10,86.00,84.80,57,4693,397678.00,
500174,GUJ.LEASE   ,B ,Q,2.70,2.75,2.50,2.60,2.60,2.64,9,3302,8657.00,
500179,HCL INFOSYS ,B ,Q,9.41,9.48,9.10,9.18,9.21,9.31,236,47670,440627.00,
500180,HDFC BANK   ,A ,Q,1609.00,1614.50,1567.10,1583.50,1583.50,1612.05,13546,304555,485390518.00,
500182,HEROMOTOCO  ,A ,Q,3498.05,3566.45,3488.95,3539.25,3539.25,3498.05,4305,56409,198992568.00,
500183,HFCL        ,A ,Q,27.30,28.55,26.70,28.40,28.40,27.10,5042,2785651,77487221.00,
500184,HSCL        ,A ,Q,46.00,46.45,44.65,45.10,45.10,47.35,1548,353622,16040732.00,
500185,HIND.CONSTN.,A ,Q,8.40,8.57,8.35,8.44,8.44,8.35,481,240819,2031516.00,
500186,HIND.OIL EXP,A ,Q,87.50,87.50,84.30,84.65,84.65,87.10,392,25968,2224534.00,
500187,HSIL        ,B ,Q,175.60,181.25,174.00,176.45,177.00,175.65,603,29224,5166076.00,
500188,HINDUS.ZI   ,A ,Q,298.00,300.75,294.40,298.75,298.75,297.25,3094,105284,31388600.00,
500189,NXTDIGITAL  ,B ,Q,532.15,532.15,487.80,514.95,528.00,518.85,149,1256,626104.00,
